date,Pro-Choice,Pro-Life,day
2022-05-05,6238,356,1
2022-05-06,5213,344,2
2022-05-07,3650,267,3
2022-05-08,2967,195,4
2022-05-09,3099,232,5
2022-05-10,3018,278,6
2022-05-11,2606,219,7
2022-05-12,2252,211,8
2022-05-13,1903,188,9
2022-05-14,2590,139,10
2022-05-15,2212,106,11
2022-05-16,1656,159,12
2022-05-17,1397,130,13
2022-05-18,1225,151,14
2022-05-19,1229,133,15
2022-05-20,1221,151,16
2022-05-21,834,92,17
2022-05-22,852,103,18
2022-05-23,948,103,19
2022-05-24,840,130,20
2022-05-25,751,247,21
2022-05-26,681,167,22
2022-05-27,618,132,23
2022-05-28,395,97,24
2022-05-29,349,79,25
2022-05-30,336,81,26
2022-05-31,353,88,27
2022-06-01,384,70,28
2022-06-02,362,73,29
2022-06-03,316,63,30
2022-06-04,290,55,31
2022-06-05,244,56,32
2022-06-06,284,65,33
2022-06-07,334,66,34
2022-06-08,275,61,35
2022-06-09,281,54,36
2022-06-10,239,53,37
2022-06-11,201,49,38
2022-06-12,194,49,39
2022-06-13,194,60,40
2022-06-14,224,63,41
2022-06-15,303,66,42
2022-06-16,226,52,43
2022-06-17,249,54,44
2022-06-18,233,42,45
2022-06-19,160,42,46
2022-06-20,207,62,47
2022-06-21,216,59,48
2022-06-22,222,59,49
2022-06-23,266,74,50
2022-06-24,10573,771,51
2022-06-25,20565,927,52
2022-06-26,16067,735,53
2022-06-27,14909,719,54
2022-06-28,12831,638,55
2022-06-29,9924,550,56
2022-06-30,8271,500,57
2022-07-01,6257,393,58
2022-07-02,5073,326,59
2022-07-03,5036,237,60
2022-07-04,6946,313,61
2022-07-05,5369,250,62
2022-07-06,3850,285,63
2022-07-07,3343,252,64
2022-07-08,2946,183,65
2022-07-09,2481,182,66
2022-07-10,2207,169,67
2022-07-11,2041,186,68
2022-07-12,1810,173,69
2022-07-13,1701,145,70
2022-07-14,1804,148,71
2022-07-15,1491,134,72
2022-07-16,1104,100,73
2022-07-17,1024,114,74
2022-07-18,1102,123,75
2022-07-19,1207,103,76
2022-07-20,1155,104,77
2022-07-21,1165,100,78
2022-07-22,962,114,79
2022-07-23,790,81,80
2022-07-24,815,83,81
2022-07-25,908,75,82
2022-07-26,1005,102,83
2022-07-27,976,101,84
2022-07-28,933,95,85
2022-07-29,882,72,86
2022-07-30,849,62,87
2022-07-31,693,60,88
2022-08-01,708,52,89
2022-08-02,801,76,90
2022-08-03,1046,79,91
2022-08-04,778,82,92
2022-08-05,643,69,93
2022-08-06,625,60,94
2022-08-07,527,67,95
2022-08-08,590,74,96
2022-08-09,619,73,97
2022-08-10,527,49,98
2022-08-11,506,61,99
2022-08-12,496,61,100
2022-08-13,393,55,101
2022-08-14,475,63,102
2022-08-15,402,61,103
2022-08-16,499,55,104
2022-08-17,492,62,105
2022-08-18,460,55,106
2022-08-19,442,47,107
2022-08-20,345,40,108
2022-08-21,305,44,109
2022-08-22,360,45,110
2022-08-23,385,49,111
2022-08-24,363,52,112
2022-08-25,365,48,113
